Year,Inflation
1960,1.28887812
1961,2.102342706
1962,1.246289513
1963,1.337967944
1964,2.534979686
1965,4.069023471
1966,3.489249619
1967,3.538965883
1968,1.986127529
1969,3.23823316
1970,4.991859976
1971,5.957448096
1972,6.425693925
1973,9.433972641
1974,11.72412209
1975,13.42594374
1976,11.0204016
1977,11.15196487
1978,11.13560797
1979,13.2936509
1980,13.6602472
1981,15.25423772
1982,14.63903727
1983,12.30320716
1984,11.52648044
1985,16.29422614
1986,18.65492687
1987,16.16059499
1988,12.77954421
1989,14.73088597
1990,14.32097583
1991,15.33478204
1992,13.8747029
1993,9.71744832
1994,8.938543571
1995,8.680426268
1996,7.354128857
1997,8.597770743
1998,6.880552536
1999,5.181487799
2000,5.338951583
2001,5.701904835
2002,9.494706671
2003,5.679418064
2004,-0.6920301383
2005,2.062852225
2006,3.243901675
2007,6.17781207
2008,10.05528203
2009,7.264562145
2010,4.063538973
2011,5.017157733
2012,5.723943662
2013,5.776404135
2014,6.136020151
2015,4.509208278
2016,6.594604415
2017,5.181082233
2018,4.504577493
2019,4.124350725
2020,3.223885042
